No,Lat,Long,NRE,MAT,MAT_season,MAP,MAP_season,AI,AET,VPD,srad,tmax,tmin,CEC,BD,pH,Sand,Silt,Clay,SWC,SOC,TN,TP,MBC,MBN,FB_ratio,NPP,BNPP,NDVI,Ndep,LDMC,SLA_MODIS,LNC_MODIS,LPC_MODIS,Vcmax,fLNR,EM_tree,AM_tree
1,19.7,-155.1,58.1866667,16.12837,113.7687,2253,29.55264,16419,830.0198,0.4666667,198.925,22.3,14.04167,0.3711,0.68,4.9,29,42,28,41,86,3.9,1100,0,0,0.1740821,17587,2.079677,NaN,0.006004679,0.3527284,8.728773,15.01494,1.411053,56.21432,15.35867,0.1529654,0.7916881
2,19.7,-155.1,62.5,16.12837,113.7687,2253,29.55264,16419,830.0198,0.4666667,198.925,22.3,14.04167,0.3711,0.68,4.9,29,42,28,41,86,3.9,1100,0,0,0.1740821,17587,2.079677,NaN,0.006004679,0.3527284,8.728773,15.01494,1.411053,56.21432,15.35867,0.1529654,0.7916881
3,19.7,-155.1,58.5625,16.12837,113.7687,2253,29.55264,16419,830.0198,0.4666667,198.925,22.3,14.04167,0.3711,0.68,4.9,29,42,28,41,86,3.9,1100,0,0,0.1740821,17587,2.079677,NaN,0.006004679,0.3527284,8.728773,15.01494,1.411053,56.21432,15.35867,0.1529654,0.7916881
4,-43.3,-71,62.8352941,7.133823,496.6393,369,56.83788,2886,318.2921,0.5666667,149.1417,12.5,0.2083333,0.3173,1.24,8,55,14,31,30,5.7,0.5,NaN,75.3322,9.53461,0.1325896,1608,0.7947614,0.227,0.005217764,0.2935898,10.73212,15.90063,1.560803,NaN,NaN,0.9305667,0.05116494
5,-40.3,-71.5,60.1267606,4.970989,442.0969,938,65.82943,8147,461.7676,0.4916667,144.7,11.08333,-1.425,0.3534,1.16,6.2,53,31,16,52,48.4,4.9,900,123.101,20.9619,0.1674797,5216,1.198572,0.339,0.01334286,0.3072527,11.4469,16.18765,1.428651,50.89608,15.12514,0.3365728,0.6734455
6,-40.3,-71.5,54.2556391,4.970989,442.0969,938,65.82943,8147,461.7676,0.4916667,144.7,11.08333,-1.425,0.3534,1.16,6.2,53,31,16,52,48.4,4.9,900,123.101,20.9619,0.1674797,5216,1.198572,0.339,0.01334286,0.3072527,11.4469,16.18765,1.428651,50.89608,15.12514,0.3365728,0.6734455
7,-40.3,-71.5,77.5054852,4.970989,442.0969,938,65.82943,8147,461.7676,0.4916667,144.7,11.08333,-1.425,0.3534,1.16,6.2,53,31,16,52,48.4,4.9,900,123.101,20.9619,0.1674797,5216,1.198572,0.339,0.01334286,0.3072527,11.4469,16.18765,1.428651,50.89608,15.12514,0.3365728,0.6734455
8,42.7,-1.1,56.3082707,11.62887,563.1823,814,23.63609,6235,705.3351,0.6083333,167.4583,17.2,6.891667,0.2458,0.87,8.2,54,15,31,38,156,2.3,600,152.25,30.2965,0.1190471,6806,1.368226,0.535,0.08768991,0.331149,10.45317,11.05096,1.109905,63.96976,12.58176,0.9399987,0.04885586
9,42.8,-0.9,57.2128378,9.040364,576.0834,934,21.54638,6020,719.981,0.5666667,171.1417,15.4,5.516667,0.2458,0.87,8.2,54,15,31,38,156,2.3,600,160.342,29.417,0.1003104,9098,1.234945,0.649,0.06960578,0.3401,10.2501,15.18755,1.197119,59.39373,11.83081,0.9150519,0.06869414
10,39.6,-82.6,75.615748,10.76479,924.3929,979,21.21639,8518,748.6866,0.55,155.8,16.85833,5.5,0.1243,1.42,6.2,27,55,18,20,15.7,1.5,500,95.1375,12.5669,0.1541612,6994,1.908533,0.549,0.1220651,0.3016599,14.90661,NaN,NaN,76.92244,26.49854,0.4010642,0.5882626
11,39.6,-82.6,74.6655022,10.76479,924.3929,979,21.21639,8518,748.6866,0.55,155.8,16.85833,5.5,0.1243,1.42,6.2,27,55,18,20,15.7,1.5,500,95.1375,12.5669,0.1541612,6994,1.908533,0.549,0.1220651,0.3016599,14.90661,NaN,NaN,76.92244,26.49854,0.4010642,0.5882626
12,39.6,-82.6,70.8894515,10.76479,924.3929,979,21.21639,8518,748.6866,0.55,155.8,16.85833,5.5,0.1243,1.42,6.2,27,55,18,20,15.7,1.5,500,95.1375,12.5669,0.1541612,6994,1.908533,0.549,0.1220651,0.3016599,14.90661,NaN,NaN,76.92244,26.49854,0.4010642,0.5882626
13,39.6,-82.6,79,10.76479,924.3929,979,21.21639,8518,748.6866,0.55,155.8,16.85833,5.5,0.1243,1.42,6.2,27,55,18,20,15.7,1.5,500,95.1375,12.5669,0.1541612,6994,1.908533,0.549,0.1220651,0.3016599,14.90661,NaN,NaN,76.92244,26.49854,0.4010642,0.5882626
14,39.6,-82.6,64.5649718,10.76479,924.3929,979,21.21639,8518,748.6866,0.55,155.8,16.85833,5.5,0.1243,1.42,6.2,27,55,18,20,15.7,1.5,500,95.1375,12.5669,0.1541612,6994,1.908533,0.549,0.1220651,0.3016599,14.90661,NaN,NaN,76.92244,26.49854,0.4010642,0.5882626
15,39.6,-82.6,65.9130435,10.76479,924.3929,979,21.21639,8518,748.6866,0.55,155.8,16.85833,5.5,0.1243,1.42,6.2,27,55,18,20,15.7,1.5,500,95.1375,12.5669,0.1541612,6994,1.908533,0.549,0.1220651,0.3016599,14.90661,NaN,NaN,76.92244,26.49854,0.4010642,0.5882626
16,39.6,-82.6,71.6792952,10.76479,924.3929,979,21.21639,8518,748.6866,0.55,155.8,16.85833,5.5,0.1243,1.42,6.2,27,55,18,20,15.7,1.5,500,95.1375,12.5669,0.1541612,6994,1.908533,0.549,0.1220651,0.3016599,14.90661,NaN,NaN,76.92244,26.49854,0.4010642,0.5882626
17,39.6,-82.6,72.2896552,10.76479,924.3929,979,21.21639,8518,748.6866,0.55,155.8,16.85833,5.5,0.1243,1.42,6.2,27,55,18,20,15.7,1.5,500,95.1375,12.5669,0.1541612,6994,1.908533,0.549,0.1220651,0.3016599,14.90661,NaN,NaN,76.92244,26.49854,0.4010642,0.5882626
18,21.5,100.4,64.6515817,19.8375,299.5869,1545,84.23215,10134,940.3806,0.8583333,197.7083,26.05,14.15,0.1218,1.23,5.1,40,30,28,34,19.2,1.5,600,76.7761,12.3732,0.1568588,14027,1.667647,0.794,0.07221586,0.3343846,10.17339,16.11657,1.154022,60.30084,12.01545,0.544818,0.480504
19,21.5,100.4,71.5787145,19.8375,299.5869,1545,84.23215,10134,940.3806,0.8583333,197.7083,26.05,14.15,0.1218,1.23,5.1,40,30,28,34,19.2,1.5,600,76.7761,12.3732,0.1568588,14027,1.667647,0.794,0.07221586,0.3343846,10.17339,16.11657,1.154022,60.30084,12.01545,0.544818,0.480504
20,21.5,100.4,19.7787815,19.8375,299.5869,1545,84.23215,10134,940.3806,0.8583333,197.7083,26.05,14.15,0.1218,1.23,5.1,40,30,28,34,19.2,1.5,600,76.7761,12.3732,0.1568588,14027,1.667647,0.794,0.07221586,0.3343846,10.17339,16.11657,1.154022,60.30084,12.01545,0.544818,0.480504
21,21.5,100.4,25.9824682,19.8375,299.5869,1545,84.23215,10134,940.3806,0.8583333,197.7083,26.05,14.15,0.1218,1.23,5.1,40,30,28,34,19.2,1.5,600,76.7761,12.3732,0.1568588,14027,1.667647,0.794,0.07221586,0.3343846,10.17339,16.11657,1.154022,60.30084,12.01545,0.544818,0.480504
22,21.5,100.4,34.6397427,19.8375,299.5869,1545,84.23215,10134,940.3806,0.8583333,197.7083,26.05,14.15,0.1218,1.23,5.1,40,30,28,34,19.2,1.5,600,76.7761,12.3732,0.1568588,14027,1.667647,0.794,0.07221586,0.3343846,10.17339,16.11657,1.154022,60.30084,12.01545,0.544818,0.480504
23,21.5,100.4,60.5213325,19.8375,299.5869,1545,84.23215,10134,940.3806,0.8583333,197.7083,26.05,14.15,0.1218,1.23,5.1,40,30,28,34,19.2,1.5,600,76.7761,12.3732,0.1568588,14027,1.667647,0.794,0.07221586,0.3343846,10.17339,16.11657,1.154022,60.30084,12.01545,0.544818,0.480504
24,21.5,100.4,71.0357665,19.8375,299.5869,1545,84.23215,10134,940.3806,0.8583333,197.7083,26.05,14.15,0.1218,1.23,5.1,40,30,28,34,19.2,1.5,600,76.7761,12.3732,0.1568588,14027,1.667647,0.794,0.07221586,0.3343846,10.17339,16.11657,1.154022,60.30084,12.01545,0.544818,0.480504
25,21.5,100.4,30.1254652,19.8375,299.5869,1545,84.23215,10134,940.3806,0.8583333,197.7083,26.05,14.15,0.1218,1.23,5.1,40,30,28,34,19.2,1.5,600,76.7761,12.3732,0.1568588,14027,1.667647,0.794,0.07221586,0.3343846,10.17339,16.11657,1.154022,60.30084,12.01545,0.544818,0.480504
26,21.5,100.4,39.6407457,19.8375,299.5869,1545,84.23215,10134,940.3806,0.8583333,197.7083,26.05,14.15,0.1218,1.23,5.1,40,30,28,34,19.2,1.5,600,76.7761,12.3732,0.1568588,14027,1.667647,0.794,0.07221586,0.3343846,10.17339,16.11657,1.154022,60.30084,12.01545,0.544818,0.480504
27,21.5,100.4,64.3116254,19.8375,299.5869,1545,84.23215,10134,940.3806,0.8583333,197.7083,26.05,14.15,0.1218,1.23,5.1,40,30,28,34,19.2,1.5,600,76.7761,12.3732,0.1568588,14027,1.667647,0.794,0.07221586,0.3343846,10.17339,16.11657,1.154022,60.30084,12.01545,0.544818,0.480504
28,21.5,100.4,67.6977439,19.8375,299.5869,1545,84.23215,10134,940.3806,0.8583333,197.7083,26.05,14.15,0.1218,1.23,5.1,40,30,28,34,19.2,1.5,600,76.7761,12.3732,0.1568588,14027,1.667647,0.794,0.07221586,0.3343846,10.17339,16.11657,1.154022,60.30084,12.01545,0.544818,0.480504
29,21.5,100.4,43.6387027,19.8375,299.5869,1545,84.23215,10134,940.3806,0.8583333,197.7083,26.05,14.15,0.1218,1.23,5.1,40,30,28,34,19.2,1.5,600,76.7761,12.3732,0.1568588,14027,1.667647,0.794,0.07221586,0.3343846,10.17339,16.11657,1.154022,60.30084,12.01545,0.544818,0.480504
30,21.5,100.4,68.1480663,19.8375,299.5869,1545,84.23215,10134,940.3806,0.8583333,197.7083,26.05,14.15,0.1218,1.23,5.1,40,30,28,34,19.2,1.5,600,76.7761,12.3732,0.1568588,14027,1.667647,0.794,0.07221586,0.3343846,10.17339,16.11657,1.154022,60.30084,12.01545,0.544818,0.480504
31,21.5,100.4,27.9651816,19.8375,299.5869,1545,84.23215,10134,940.3806,0.8583333,197.7083,26.05,14.15,0.1218,1.23,5.1,40,30,28,34,19.2,1.5,600,76.7761,12.3732,0.1568588,14027,1.667647,0.794,0.07221586,0.3343846,10.17339,16.11657,1.154022,60.30084,12.01545,0.544818,0.480504
32,21.5,100.4,42.9250868,19.8375,299.5869,1545,84.23215,10134,940.3806,0.8583333,197.7083,26.05,14.15,0.1218,1.23,5.1,40,30,28,34,19.2,1.5,600,76.7761,12.3732,0.1568588,14027,1.667647,0.794,0.07221586,0.3343846,10.17339,16.11657,1.154022,60.30084,12.01545,0.544818,0.480504
33,21.5,100.4,52.7376033,19.8375,299.5869,1545,84.23215,10134,940.3806,0.8583333,197.7083,26.05,14.15,0.1218,1.23,5.1,40,30,28,34,19.2,1.5,600,76.7761,12.3732,0.1568588,14027,1.667647,0.794,0.07221586,0.3343846,10.17339,16.11657,1.154022,60.30084,12.01545,0.544818,0.480504
34,21.5,100.4,40.6718503,19.8375,299.5869,1545,84.23215,10134,940.3806,0.8583333,197.7083,26.05,14.15,0.1218,1.23,5.1,40,30,28,34,19.2,1.5,600,76.7761,12.3732,0.1568588,14027,1.667647,0.794,0.07221586,0.3343846,10.17339,16.11657,1.154022,60.30084,12.01545,0.544818,0.480504
35,21.5,100.4,33.8100979,19.8375,299.5869,1545,84.23215,10134,940.3806,0.8583333,197.7083,26.05,14.15,0.1218,1.23,5.1,40,30,28,34,19.2,1.5,600,76.7761,12.3732,0.1568588,14027,1.667647,0.794,0.07221586,0.3343846,10.17339,16.11657,1.154022,60.30084,12.01545,0.544818,0.480504
36,21.5,100.4,58.4795322,19.8375,299.5869,1545,84.23215,10134,940.3806,0.8583333,197.7083,26.05,14.15,0.1218,1.23,5.1,40,30,28,34,19.2,1.5,600,76.7761,12.3732,0.1568588,14027,1.667647,0.794,0.07221586,0.3343846,10.17339,16.11657,1.154022,60.30084,12.01545,0.544818,0.480504
37,21.5,100.4,50.4474409,19.8375,299.5869,1545,84.23215,10134,940.3806,0.8583333,197.7083,26.05,14.15,0.1218,1.23,5.1,40,30,28,34,19.2,1.5,600,76.7761,12.3732,0.1568588,14027,1.667647,0.794,0.07221586,0.3343846,10.17339,16.11657,1.154022,60.30084,12.01545,0.544818,0.480504
38,21.5,100.4,51.048026,19.8375,299.5869,1545,84.23215,10134,940.3806,0.8583333,197.7083,26.05,14.15,0.1218,1.23,5.1,40,30,28,34,19.2,1.5,600,76.7761,12.3732,0.1568588,14027,1.667647,0.794,0.07221586,0.3343846,10.17339,16.11657,1.154022,60.30084,12.01545,0.544818,0.480504
39,21.5,100.4,51.6497199,19.8375,299.5869,1545,84.23215,10134,940.3806,0.8583333,197.7083,26.05,14.15,0.1218,1.23,5.1,40,30,28,34,19.2,1.5,600,76.7761,12.3732,0.1568588,14027,1.667647,0.794,0.07221586,0.3343846,10.17339,16.11657,1.154022,60.30084,12.01545,0.544818,0.480504
40,21.5,100.4,44.4498715,19.8375,299.5869,1545,84.23215,10134,940.3806,0.8583333,197.7083,26.05,14.15,0.1218,1.23,5.1,40,30,28,34,19.2,1.5,600,76.7761,12.3732,0.1568588,14027,1.667647,0.794,0.07221586,0.3343846,10.17339,16.11657,1.154022,60.30084,12.01545,0.544818,0.480504
41,21.5,100.4,47.3847902,19.8375,299.5869,1545,84.23215,10134,940.3806,0.8583333,197.7083,26.05,14.15,0.1218,1.23,5.1,40,30,28,34,19.2,1.5,600,76.7761,12.3732,0.1568588,14027,1.667647,0.794,0.07221586,0.3343846,10.17339,16.11657,1.154022,60.30084,12.01545,0.544818,0.480504
42,21.5,100.4,63.6338368,19.8375,299.5869,1545,84.23215,10134,940.3806,0.8583333,197.7083,26.05,14.15,0.1218,1.23,5.1,40,30,28,34,19.2,1.5,600,76.7761,12.3732,0.1568588,14027,1.667647,0.794,0.07221586,0.3343846,10.17339,16.11657,1.154022,60.30084,12.01545,0.544818,0.480504
43,21.5,100.4,63.6994191,19.8375,299.5869,1545,84.23215,10134,940.3806,0.8583333,197.7083,26.05,14.15,0.1218,1.23,5.1,40,30,28,34,19.2,1.5,600,76.7761,12.3732,0.1568588,14027,1.667647,0.794,0.07221586,0.3343846,10.17339,16.11657,1.154022,60.30084,12.01545,0.544818,0.480504
44,-42.7,-65.4,79.2,13.46173,519.1656,184,21.26228,945,369.1136,0.9333333,173.6167,20.2,7.025,0.1432,1.12,7.7,83,8,9,26,6.3,0.5,700,52.726,6.76428,0.1064849,1434,0.880312,0.146,0.007004743,0.2752344,14.66729,18.9186,1.655218,NaN,NaN,0.8588123,0.1051261
45,-42.7,-65.4,59.5818182,13.46173,519.1656,184,21.26228,945,369.1136,0.9333333,173.6167,20.2,7.025,0.1432,1.12,7.7,83,8,9,26,6.3,0.5,700,52.726,6.76428,0.1064849,1434,0.880312,0.146,0.007004743,0.2752344,14.66729,18.9186,1.655218,NaN,NaN,0.8588123,0.1051261
