Num,lat,lon,value,MAT,MAT_season,MAP,MAP_season,AI,AET,VPD,srad,tmax,tmin,CEC,BD,pH,Sand,Silt,Clay,SWC,SOC,TN,TP,MBC,MBN,FB_ratio,NPP,BNPP,NDVI,Ndep,LDMC,SLA_MODIS,LNC_MODIS,LPC_MODIS,Vcmax,fLNR,EM_tree,AM_tree
1,35.96666667,101.0147222,8.40909,0.2841145,832.8172,496,96.80761,4841,331.2517,0.3083333,170.0167,5.866667,-8.616667,0.1413,1.25,6.4,41,46,13,26,50,4.9,900,114.75,11.2837,0.1418397,2204,0.893104,0.365,0.05359348,0.2522602,15.03763,18.60139,1.467901,87.12606,29.78129,0.9672583,0.03678965
2,35.96666667,101.0147222,17.8282825,0.2841145,832.8172,496,96.80761,4841,331.2517,0.3083333,170.0167,5.866667,-8.616667,0.1413,1.25,6.4,41,46,13,26,50,4.9,900,114.75,11.2837,0.1418397,2204,0.893104,0.365,0.05359348,0.2522602,15.03763,18.60139,1.467901,87.12606,29.78129,0.9672583,0.03678965
3,35.96666667,101.0147222,8.560605,0.2841145,832.8172,496,96.80761,4841,331.2517,0.3083333,170.0167,5.866667,-8.616667,0.1413,1.25,6.4,41,46,13,26,50,4.9,900,114.75,11.2837,0.1418397,2204,0.893104,0.365,0.05359348,0.2522602,15.03763,18.60139,1.467901,87.12606,29.78129,0.9672583,0.03678965
4,35.96666667,101.0147222,66.21212,0.2841145,832.8172,496,96.80761,4841,331.2517,0.3083333,170.0167,5.866667,-8.616667,0.1413,1.25,6.4,41,46,13,26,50,4.9,900,114.75,11.2837,0.1418397,2204,0.893104,0.365,0.05359348,0.2522602,15.03763,18.60139,1.467901,87.12606,29.78129,0.9672583,0.03678965
5,35.96666667,101.0147222,54.79798,0.2841145,832.8172,496,96.80761,4841,331.2517,0.3083333,170.0167,5.866667,-8.616667,0.1413,1.25,6.4,41,46,13,26,50,4.9,900,114.75,11.2837,0.1418397,2204,0.893104,0.365,0.05359348,0.2522602,15.03763,18.60139,1.467901,87.12606,29.78129,0.9672583,0.03678965
6,35.96666667,101.0147222,12.39899,0.2841145,832.8172,496,96.80761,4841,331.2517,0.3083333,170.0167,5.866667,-8.616667,0.1413,1.25,6.4,41,46,13,26,50,4.9,900,114.75,11.2837,0.1418397,2204,0.893104,0.365,0.05359348,0.2522602,15.03763,18.60139,1.467901,87.12606,29.78129,0.9672583,0.03678965
7,35.96666667,101.0147222,34.39394,0.2841145,832.8172,496,96.80761,4841,331.2517,0.3083333,170.0167,5.866667,-8.616667,0.1413,1.25,6.4,41,46,13,26,50,4.9,900,114.75,11.2837,0.1418397,2204,0.893104,0.365,0.05359348,0.2522602,15.03763,18.60139,1.467901,87.12606,29.78129,0.9672583,0.03678965
8,35.96666667,101.0147222,9.39394,0.2841145,832.8172,496,96.80761,4841,331.2517,0.3083333,170.0167,5.866667,-8.616667,0.1413,1.25,6.4,41,46,13,26,50,4.9,900,114.75,11.2837,0.1418397,2204,0.893104,0.365,0.05359348,0.2522602,15.03763,18.60139,1.467901,87.12606,29.78129,0.9672583,0.03678965
9,35.96666667,101.0147222,3.00505,0.2841145,832.8172,496,96.80761,4841,331.2517,0.3083333,170.0167,5.866667,-8.616667,0.1413,1.25,6.4,41,46,13,26,50,4.9,900,114.75,11.2837,0.1418397,2204,0.893104,0.365,0.05359348,0.2522602,15.03763,18.60139,1.467901,87.12606,29.78129,0.9672583,0.03678965
10,35.96666667,101.0147222,3.8131325,0.2841145,832.8172,496,96.80761,4841,331.2517,0.3083333,170.0167,5.866667,-8.616667,0.1413,1.25,6.4,41,46,13,26,50,4.9,900,114.75,11.2837,0.1418397,2204,0.893104,0.365,0.05359348,0.2522602,15.03763,18.60139,1.467901,87.12606,29.78129,0.9672583,0.03678965
11,35.96666667,101.0147222,10.8838375,0.2841145,832.8172,496,96.80761,4841,331.2517,0.3083333,170.0167,5.866667,-8.616667,0.1413,1.25,6.4,41,46,13,26,50,4.9,900,114.75,11.2837,0.1418397,2204,0.893104,0.365,0.05359348,0.2522602,15.03763,18.60139,1.467901,87.12606,29.78129,0.9672583,0.03678965
12,35.96666667,101.0147222,12.4747475,0.2841145,832.8172,496,96.80761,4841,331.2517,0.3083333,170.0167,5.866667,-8.616667,0.1413,1.25,6.4,41,46,13,26,50,4.9,900,114.75,11.2837,0.1418397,2204,0.893104,0.365,0.05359348,0.2522602,15.03763,18.60139,1.467901,87.12606,29.78129,0.9672583,0.03678965
13,35.96666667,101.0147222,12.348485,0.2841145,832.8172,496,96.80761,4841,331.2517,0.3083333,170.0167,5.866667,-8.616667,0.1413,1.25,6.4,41,46,13,26,50,4.9,900,114.75,11.2837,0.1418397,2204,0.893104,0.365,0.05359348,0.2522602,15.03763,18.60139,1.467901,87.12606,29.78129,0.9672583,0.03678965
14,35.96666667,101.0147222,4.9242425,0.2841145,832.8172,496,96.80761,4841,331.2517,0.3083333,170.0167,5.866667,-8.616667,0.1413,1.25,6.4,41,46,13,26,50,4.9,900,114.75,11.2837,0.1418397,2204,0.893104,0.365,0.05359348,0.2522602,15.03763,18.60139,1.467901,87.12606,29.78129,0.9672583,0.03678965
15,35.96666667,101.0147222,29.848485,0.2841145,832.8172,496,96.80761,4841,331.2517,0.3083333,170.0167,5.866667,-8.616667,0.1413,1.25,6.4,41,46,13,26,50,4.9,900,114.75,11.2837,0.1418397,2204,0.893104,0.365,0.05359348,0.2522602,15.03763,18.60139,1.467901,87.12606,29.78129,0.9672583,0.03678965
16,35.96666667,101.0147222,3.88889,0.2841145,832.8172,496,96.80761,4841,331.2517,0.3083333,170.0167,5.866667,-8.616667,0.1413,1.25,6.4,41,46,13,26,50,4.9,900,114.75,11.2837,0.1418397,2204,0.893104,0.365,0.05359348,0.2522602,15.03763,18.60139,1.467901,87.12606,29.78129,0.9672583,0.03678965
17,35.96666667,101.0147222,13.838385,0.2841145,832.8172,496,96.80761,4841,331.2517,0.3083333,170.0167,5.866667,-8.616667,0.1413,1.25,6.4,41,46,13,26,50,4.9,900,114.75,11.2837,0.1418397,2204,0.893104,0.365,0.05359348,0.2522602,15.03763,18.60139,1.467901,87.12606,29.78129,0.9672583,0.03678965
18,35.96666667,101.0147222,33.78788,0.2841145,832.8172,496,96.80761,4841,331.2517,0.3083333,170.0167,5.866667,-8.616667,0.1413,1.25,6.4,41,46,13,26,50,4.9,900,114.75,11.2837,0.1418397,2204,0.893104,0.365,0.05359348,0.2522602,15.03763,18.60139,1.467901,87.12606,29.78129,0.9672583,0.03678965
19,35.96666667,101.0147222,39.2676775,0.2841145,832.8172,496,96.80761,4841,331.2517,0.3083333,170.0167,5.866667,-8.616667,0.1413,1.25,6.4,41,46,13,26,50,4.9,900,114.75,11.2837,0.1418397,2204,0.893104,0.365,0.05359348,0.2522602,15.03763,18.60139,1.467901,87.12606,29.78129,0.9672583,0.03678965
20,35.96666667,101.0147222,23.40909,0.2841145,832.8172,496,96.80761,4841,331.2517,0.3083333,170.0167,5.866667,-8.616667,0.1413,1.25,6.4,41,46,13,26,50,4.9,900,114.75,11.2837,0.1418397,2204,0.893104,0.365,0.05359348,0.2522602,15.03763,18.60139,1.467901,87.12606,29.78129,0.9672583,0.03678965
21,35.96666667,101.0147222,20.2272725,0.2841145,832.8172,496,96.80761,4841,331.2517,0.3083333,170.0167,5.866667,-8.616667,0.1413,1.25,6.4,41,46,13,26,50,4.9,900,114.75,11.2837,0.1418397,2204,0.893104,0.365,0.05359348,0.2522602,15.03763,18.60139,1.467901,87.12606,29.78129,0.9672583,0.03678965
22,35.96666667,101.0147222,17.146465,0.2841145,832.8172,496,96.80761,4841,331.2517,0.3083333,170.0167,5.866667,-8.616667,0.1413,1.25,6.4,41,46,13,26,50,4.9,900,114.75,11.2837,0.1418397,2204,0.893104,0.365,0.05359348,0.2522602,15.03763,18.60139,1.467901,87.12606,29.78129,0.9672583,0.03678965
23,35.96666667,101.0147222,29.444445,0.2841145,832.8172,496,96.80761,4841,331.2517,0.3083333,170.0167,5.866667,-8.616667,0.1413,1.25,6.4,41,46,13,26,50,4.9,900,114.75,11.2837,0.1418397,2204,0.893104,0.365,0.05359348,0.2522602,15.03763,18.60139,1.467901,87.12606,29.78129,0.9672583,0.03678965
24,35.96666667,101.0147222,0.656565,0.2841145,832.8172,496,96.80761,4841,331.2517,0.3083333,170.0167,5.866667,-8.616667,0.1413,1.25,6.4,41,46,13,26,50,4.9,900,114.75,11.2837,0.1418397,2204,0.893104,0.365,0.05359348,0.2522602,15.03763,18.60139,1.467901,87.12606,29.78129,0.9672583,0.03678965
25,35.96666667,101.0147222,9.39394,0.2841145,832.8172,496,96.80761,4841,331.2517,0.3083333,170.0167,5.866667,-8.616667,0.1413,1.25,6.4,41,46,13,26,50,4.9,900,114.75,11.2837,0.1418397,2204,0.893104,0.365,0.05359348,0.2522602,15.03763,18.60139,1.467901,87.12606,29.78129,0.9672583,0.03678965
