Num,lat,lon,site_mean,MAT,MAT_season,MAP,MAP_season,AI,AET,VPD,srad,tmax,tmin,CEC,BD,pH,Sand,Silt,Clay,SWC,SOC,TN,TP,MBC,MBN,FB_ratio,NPP,BNPP,NDVI,Ndep,LDMC,SLA_MODIS,LNC_MODIS,LPC_MODIS,Vcmax,fLNR,EM_tree,AM_tree
150,46.35,8.23,0.96,4.199531,581.0394,1073,18.09023,12385,433.5085,0.35,157.4917,9.458333,2.675,0.1165,1.19,6.2,86,5,9,38,28.6,2.4,NaN,448.872,61.6714,0.1526327,4584,1.329082,0.569,0.0872402,0.3045469,11.73655,16.73561,1.525386,49.9459,13.37556,0.9326711,0.05660334
151,9,-79,10,26.50434,49.82065,2059,68.61005,NaN,1207.139,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,190.909,26.1735,NaN,0,NaN,NaN,0.02974753,0.3259977,10.28007,2.355706,1.24065,NaN,NaN,0.05433498,0.8393373
152,40,-105,4.685,9.89575,885.4308,400,50.20801,2250,443.12,0.95,193.4083,17.98333,2.408333,0.2388,1.46,7.2,44,31,25,25,15.5,1.3,400,126.678,24.2978,0.1456732,2158,1.947807,0.229,0.05378618,0.2770671,14.21695,16.16121,1.484276,89.90004,26.94754,0.9353361,0.06212419
153,40.4,-121.1,0.35,7.942448,675.7798,1004,75.84235,6588,493.2613,0.8333333,191.6833,16.84167,0.8083333,0.1452,1.46,6.4,62,26,12,24,16.8,1.7,500,65.7773,15.1639,0.1222032,7373,NaN,0.507,0.02070773,0.3660401,7.979597,10.24759,1.16334,54.9688,10.90725,0.8840836,0.120101
154,-5.43,38.47,1.613333333,23.42156,175.4654,898,68.18032,6298,961.0119,0.85,172.05,29.175,18.34167,0.0931,1.36,5.6,54,10,36,33,12.3,1,NaN,75.1629,7.29279,0.1500209,9381,0.8375222,0.613,0.01539963,0.3002193,15.71588,17.49682,1.295533,70.24923,27.80318,0.08952144,0.6857902
155,-8.86,-63.47,4.5,25.36536,46.94191,2291,66.65691,18490,1442.163,0.6416667,162.7833,30.90833,20.78333,0.0937,1.28,3.5,50,14,36,30,17.3,1,400,91.0826,14.4614,0.1469868,12332,1.492036,0.828,0.02317812,0.3275935,10.35366,15.56446,0.9660978,64.43258,15.17424,0.0291249,0.8693146
156,-6.59,37.18,3,25.26463,175.6439,923,80.02716,5239,878.3587,1.216667,188.15,31.05833,20.15,0.4392,1.25,6.4,48,24,28,32,72.4,3.5,700,147.632,22.1897,0.1506131,7242,1.320292,0.518,0.01348478,0.281419,15.94858,17.1348,1.304271,65.94158,24.80913,0.1150474,0.6411085
157,33.7,-116.4,0.55,22.83002,733.7933,103,65.31061,318,128.8644,2.45,220.8417,31.86667,15.48333,0.0845,1.56,8.2,69,19,11,20,2.7,0.3,600,34.4712,5.04323,0.1075142,0,NaN,NaN,0.04896714,0.2676022,13.45557,10.2359,1.437296,71.18266,12.51294,0.8547726,0.1153912
158,40.8,-106,0.55,1.543625,689.688,553,22.61284,4726,524.0936,0.4916667,181.3667,9.941667,-5.125,0.1176,1.46,6.8,63,25,12,20,13.2,1.6,400,116.269,32.8224,0.1943367,5416,1.724696,0.418,0.05905563,0.3620241,7.503968,14.68216,1.105753,61.06095,11.53691,0.9747285,0.0228939
159,-34.27,116.02,7.5,15.02213,359.3437,854,68.46758,5167,783.524,0.7,214.2833,20.8,9.633333,0.0674,1.33,5.4,68,16,16,20,11.2,0.8,400,106.181,16.027,0.1494259,18692,1.266378,0.686,0.003945854,0.330658,11.147,14.84376,1.144376,53.61995,13.44541,0.7099409,0.3074045
160,43.47,-74.52,5.75,5.383073,1003.161,1273,10.21012,14401,605.1837,0.3666667,145.8583,11.65,0.4166667,0.2436,1.13,5,58,32,9,22,51.5,6.4,900,209.092,29.0821,0.1904498,7928,1.645341,0.598,0.1008194,0.3334799,14.0343,17.86174,1.245186,53.674,13.46606,0.4910694,0.5046794
161,43.46,-74.51,3.55,5.383073,1003.161,1273,10.21012,14401,605.1837,0.3666667,145.8583,11.65,0.4166667,0.2436,1.13,5,58,32,9,22,51.5,6.4,900,209.092,29.0821,0.1904498,7928,1.645341,0.598,0.1008194,0.3334799,14.0343,17.86174,1.245186,53.674,13.46606,0.4910694,0.5046794
162,44.02,-74.14,3.5,4.531698,1025.419,1066,18.4436,12074,601.9171,0.3416667,144.55,10.93333,-1.025,0.2437,0.99,5,65,28,6,20,45.1,6.4,900,160.767,24.9533,0.1931367,7367,1.39107,0.624,0.08676763,0.3481085,10.95245,15.30553,1.22843,80.15911,15.60033,0.5568258,0.4354584
163,43.58,-74.14,6.5,4.768031,1008.378,1111,13.93581,12096,553.9738,0.35,145.7083,11.45833,-0.4166667,0.2437,0.99,5,65,28,6,20,45.1,6.4,900,220.781,31.0863,0.157843,7949,1.564071,0.595,0.08676763,0.3459638,12.34162,16.53259,1.141263,74.63433,16.32858,0.4910694,0.5046794
164,32.8,-116.7,0.1,16.72195,480.4053,431,84.36884,2295,NaN,1.15,214.4917,23.43333,8.541667,0.111,1.6,6.3,68,19,13,13,4.4,0.9,400,83.3215,13.5766,0.1313136,4473,1.358962,0.497,0.04896714,0.3037813,10.43312,16.30708,1.275658,76.10851,16.58724,0.8878359,0.106323
